",Alledage,Weekenddage,SH-Dage,,,Start,Slut,Timer,Ferie,,Start,Slut,Timer,Ferie,,Start,Slut,Timer,Ferie,,Start,Slut,Timer,Ferie
11/11/2020,Onsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
11/12/2020,Torsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
11/13/2020,Fredag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
11/14/2020,Lørdag,,1,1,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",
11/15/2020,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
11/16/2020,Mandag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
11/17/2020,Tirsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
11/18/2020,Onsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
11/19/2020,Torsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
11/20/2020,Fredag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
11/21/2020,Lørdag,,1,1,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",
11/22/2020,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
11/23/2020,Mandag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
11/24/2020,Tirsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
11/25/2020,Onsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
11/26/2020,Torsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
11/27/2020,Fredag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
11/28/2020,Lørdag,,1,1,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",
11/29/2020,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
11/30/2020,Mandag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
12/1/2020,Tirsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
12/2/2020,Onsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
12/3/2020,Torsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
12/4/2020,Fredag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
12/5/2020,Lørdag,,1,1,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",
12/6/2020,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
12/7/2020,Mandag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
12/8/2020,Tirsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
12/9/2020,Onsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
12/10/2020,Torsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
12/11/2020,Fredag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
12/12/2020,Lørdag,,1,1,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",
12/13/2020,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
12/14/2020,Mandag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
12/15/2020,Tirsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
12/16/2020,Onsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
12/17/2020,Torsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
12/18/2020,Fredag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
12/19/2020,Lørdag,,1,1,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",
